sex,body_mass_g,culmen_length_mm,culmen_depth_mm,id,flipper_length_mm,island,species
MALE,4000,41.5,18.5,152,201,Dream,Adelie
FEMALE,3500,46.5,17.9,153,192,Dream,Chinstrap
MALE,3900,50,19.5,154,196,Dream,Chinstrap
MALE,3650,51.3,19.2,155,193,Dream,Chinstrap
FEMALE,3525,45.4,18.7,156,188,Dream,Chinstrap
MALE,3725,52.7,19.8,157,197,Dream,Chinstrap
FEMALE,3950,45.2,17.8,158,198,Dream,Chinstrap
FEMALE,3250,46.1,18.2,159,178,Dream,Chinstrap
MALE,3750,51.3,18.2,160,197,Dream,Chinstrap
FEMALE,4150,46,18.9,161,195,Dream,Chinstrap
MALE,3700,51.3,19.9,162,198,Dream,Chinstrap
FEMALE,3800,46.6,17.8,163,193,Dream,Chinstrap
MALE,3775,51.7,20.3,164,194,Dream,Chinstrap
FEMALE,3700,47,17.3,165,185,Dream,Chinstrap
MALE,4050,52,18.1,166,201,Dream,Chinstrap
FEMALE,3575,45.9,17.1,167,190,Dream,Chinstrap
MALE,4050,50.5,19.6,168,201,Dream,Chinstrap
MALE,3300,50.3,20,169,197,Dream,Chinstrap
FEMALE,3700,58,17.8,170,181,Dream,Chinstrap
FEMALE,3450,46.4,18.6,171,190,Dream,Chinstrap
MALE,4400,49.2,18.2,172,195,Dream,Chinstrap
FEMALE,3600,42.4,17.3,173,181,Dream,Chinstrap
MALE,3400,48.5,17.5,174,191,Dream,Chinstrap
FEMALE,2900,43.2,16.6,175,187,Dream,Chinstrap
MALE,3800,50.6,19.4,176,193,Dream,Chinstrap
FEMALE,3300,46.7,17.9,177,195,Dream,Chinstrap
MALE,4150,52,19,178,197,Dream,Chinstrap
FEMALE,3400,50.5,18.4,179,200,Dream,Chinstrap
MALE,3800,49.5,19,180,200,Dream,Chinstrap
FEMALE,3700,46.4,17.8,181,191,Dream,Chinstrap
MALE,4550,52.8,20,182,205,Dream,Chinstrap
FEMALE,3200,40.9,16.6,183,187,Dream,Chinstrap
MALE,4300,54.2,20.8,184,201,Dream,Chinstrap
FEMALE,3350,42.5,16.7,185,187,Dream,Chinstrap
MALE,4100,51,18.8,186,203,Dream,Chinstrap
MALE,3600,49.7,18.6,187,195,Dream,Chinstrap
FEMALE,3900,47.5,16.8,188,199,Dream,Chinstrap
FEMALE,3850,47.6,18.3,189,195,Dream,Chinstrap
MALE,4800,52,20.7,190,210,Dream,Chinstrap
FEMALE,2700,46.9,16.6,191,192,Dream,Chinstrap
MALE,4500,53.5,19.9,192,205,Dream,Chinstrap
MALE,3950,49,19.5,193,210,Dream,Chinstrap
FEMALE,3650,46.2,17.5,194,187,Dream,Chinstrap
MALE,3550,50.9,19.1,195,196,Dream,Chinstrap
FEMALE,3500,45.5,17,196,196,Dream,Chinstrap
FEMALE,3675,50.9,17.9,197,196,Dream,Chinstrap
MALE,4450,50.8,18.5,198,201,Dream,Chinstrap
FEMALE,3400,50.1,17.9,199,190,Dream,Chinstrap
MALE,4300,49,19.6,200,212,Dream,Chinstrap
MALE,3250,51.5,18.7,201,187,Dream,Chinstrap
FEMALE,3675,49.8,17.3,202,198,Dream,Chinstrap
FEMALE,3325,48.1,16.4,203,199,Dream,Chinstrap
MALE,3950,51.4,19,204,201,Dream,Chinstrap
FEMALE,3600,45.7,17.3,205,193,Dream,Chinstrap
MALE,4050,50.7,19.7,206,203,Dream,Chinstrap
FEMALE,3350,42.5,17.3,207,187,Dream,Chinstrap
MALE,3450,52.2,18.8,208,197,Dream,Chinstrap
FEMALE,3250,45.2,16.6,209,191,Dream,Chinstrap
MALE,4050,49.3,19.9,210,203,Dream,Chinstrap
MALE,3800,50.2,18.8,211,202,Dream,Chinstrap
FEMALE,3525,45.6,19.4,212,194,Dream,Chinstrap
MALE,3950,51.9,19.5,213,206,Dream,Chinstrap
FEMALE,3650,46.8,16.5,214,189,Dream,Chinstrap
FEMALE,3650,45.7,17,215,195,Dream,Chinstrap
MALE,4000,55.8,19.8,216,207,Dream,Chinstrap
FEMALE,3400,43.5,18.1,217,202,Dream,Chinstrap
MALE,3775,49.6,18.2,218,193,Dream,Chinstrap
MALE,4100,50.8,19,219,210,Dream,Chinstrap
FEMALE,3775,50.2,18.7,220,198,Dream,Chinstrap
FEMALE,4500,46.1,13.2,221,211,Biscoe,Gentoo
MALE,5700,50,16.3,222,230,Biscoe,Gentoo
FEMALE,4450,48.7,14.1,223,210,Biscoe,Gentoo
MALE,5700,50,15.2,224,218,Biscoe,Gentoo
MALE,5400,47.6,14.5,225,215,Biscoe,Gentoo
FEMALE,4550,46.5,13.5,226,210,Biscoe,Gentoo
FEMALE,4800,45.4,14.6,227,211,Biscoe,Gentoo
MALE,5200,46.7,15.3,228,219,Biscoe,Gentoo
FEMALE,4400,43.3,13.4,229,209,Biscoe,Gentoo
MALE,5150,46.8,15.4,230,215,Biscoe,Gentoo
FEMALE,4650,40.9,13.7,231,214,Biscoe,Gentoo
MALE,5550,49,16.1,232,216,Biscoe,Gentoo
FEMALE,4650,45.5,13.7,233,214,Biscoe,Gentoo
MALE,5850,48.4,14.6,234,213,Biscoe,Gentoo
FEMALE,4200,45.8,14.6,235,210,Biscoe,Gentoo
MALE,5850,49.3,15.7,236,217,Biscoe,Gentoo
FEMALE,4150,42,13.5,237,210,Biscoe,Gentoo
MALE,6300,49.2,15.2,238,221,Biscoe,Gentoo
FEMALE,4800,46.2,14.5,239,209,Biscoe,Gentoo
MALE,5350,48.7,15.1,240,222,Biscoe,Gentoo
MALE,5700,50.2,14.3,241,218,Biscoe,Gentoo
FEMALE,5000,45.1,14.5,242,215,Biscoe,Gentoo
FEMALE,4400,46.5,14.5,243,213,Biscoe,Gentoo
MALE,5050,46.3,15.8,244,215,Biscoe,Gentoo
FEMALE,5000,42.9,13.1,245,215,Biscoe,Gentoo
MALE,5100,46.1,15.1,246,215,Biscoe,Gentoo
,4100,44.5,14.3,247,216,Biscoe,Gentoo
MALE,5650,47.8,15,248,215,Biscoe,Gentoo
FEMALE,4600,48.2,14.3,249,210,Biscoe,Gentoo
MALE,5550,50,15.3,250,220,Biscoe,Gentoo
MALE,5250,47.3,15.3,251,222,Biscoe,Gentoo
FEMALE,4700,42.8,14.2,252,209,Biscoe,Gentoo
FEMALE,5050,45.1,14.5,253,207,Biscoe,Gentoo
MALE,6050,59.6,17,254,230,Biscoe,Gentoo
FEMALE,5150,49.1,14.8,255,220,Biscoe,Gentoo
MALE,5400,48.4,16.3,256,220,Biscoe,Gentoo
FEMALE,4950,42.6,13.7,257,213,Biscoe,Gentoo
MALE,5250,44.4,17.3,258,219,Biscoe,Gentoo
FEMALE,4350,44,13.6,259,208,Biscoe,Gentoo
MALE,5350,48.7,15.7,260,208,Biscoe,Gentoo
FEMALE,3950,42.7,13.7,261,208,Biscoe,Gentoo
MALE,5700,49.6,16,262,225,Biscoe,Gentoo
FEMALE,4300,45.3,13.7,263,210,Biscoe,Gentoo
MALE,4750,49.6,15,264,216,Biscoe,Gentoo
MALE,5550,50.5,15.9,265,222,Biscoe,Gentoo
FEMALE,4900,43.6,13.9,266,217,Biscoe,Gentoo
FEMALE,4200,45.5,13.9,267,210,Biscoe,Gentoo
MALE,5400,50.5,15.9,268,225,Biscoe,Gentoo
FEMALE,5100,44.9,13.3,269,213,Biscoe,Gentoo
MALE,5300,45.2,15.8,270,215,Biscoe,Gentoo
FEMALE,4850,46.6,14.2,271,210,Biscoe,Gentoo
MALE,5300,48.5,14.1,272,220,Biscoe,Gentoo
FEMALE,4400,45.1,14.4,273,210,Biscoe,Gentoo
MALE,5000,50.1,15,274,225,Biscoe,Gentoo
FEMALE,4900,46.5,14.4,275,217,Biscoe,Gentoo
MALE,5050,45,15.4,276,220,Biscoe,Gentoo
FEMALE,4300,43.8,13.9,277,208,Biscoe,Gentoo
MALE,5000,45.5,15,278,220,Biscoe,Gentoo
FEMALE,4450,43.2,14.5,279,208,Biscoe,Gentoo
MALE,5550,50.4,15.3,280,224,Biscoe,Gentoo
FEMALE,4200,45.3,13.8,281,208,Biscoe,Gentoo
MALE,5300,46.2,14.9,282,221,Biscoe,Gentoo
FEMALE,4400,45.7,13.9,283,214,Biscoe,Gentoo
MALE,5650,54.3,15.7,284,231,Biscoe,Gentoo
FEMALE,4700,45.8,14.2,285,219,Biscoe,Gentoo
MALE,5700,49.8,16.8,286,230,Biscoe,Gentoo
,4650,46.2,14.4,287,214,Biscoe,Gentoo
MALE,5800,49.5,16.2,288,229,Biscoe,Gentoo
FEMALE,4700,43.5,14.2,289,220,Biscoe,Gentoo
MALE,5550,50.7,15,290,223,Biscoe,Gentoo
FEMALE,4750,47.7,15,291,216,Biscoe,Gentoo
MALE,5000,46.4,15.6,292,221,Biscoe,Gentoo
MALE,5100,48.2,15.6,293,221,Biscoe,Gentoo
FEMALE,5200,46.5,14.8,294,217,Biscoe,Gentoo
FEMALE,4700,46.4,15,295,216,Biscoe,Gentoo
MALE,5800,48.6,16,296,230,Biscoe,Gentoo
FEMALE,4600,47.5,14.2,297,209,Biscoe,Gentoo
MALE,6000,51.1,16.3,298,220,Biscoe,Gentoo
FEMALE,4750,45.2,13.8,299,215,Biscoe,Gentoo
MALE,5950,45.2,16.4,300,223,Biscoe,Gentoo
FEMALE,4625,49.1,14.5,301,212,Biscoe,Gentoo
MALE,5450,52.5,15.6,302,221,Biscoe,Gentoo
FEMALE,4725,47.4,14.6,303,212,Biscoe,Gentoo
MALE,5350,50,15.9,304,224,Biscoe,Gentoo
FEMALE,4750,44.9,13.8,305,212,Biscoe,Gentoo
MALE,5600,50.8,17.3,306,228,Biscoe,Gentoo
FEMALE,4600,43.4,14.4,307,218,Biscoe,Gentoo
MALE,5300,51.3,14.2,308,218,Biscoe,Gentoo
FEMALE,4875,47.5,14,309,212,Biscoe,Gentoo
MALE,5550,52.1,17,310,230,Biscoe,Gentoo
FEMALE,4950,47.5,15,311,218,Biscoe,Gentoo
MALE,5400,52.2,17.1,312,228,Biscoe,Gentoo
FEMALE,4750,45.5,14.5,313,212,Biscoe,Gentoo
MALE,5650,49.5,16.1,314,224,Biscoe,Gentoo
FEMALE,4850,44.5,14.7,315,214,Biscoe,Gentoo
MALE,5200,50.8,15.7,316,226,Biscoe,Gentoo
MALE,4925,49.4,15.8,317,216,Biscoe,Gentoo
FEMALE,4875,46.9,14.6,318,222,Biscoe,Gentoo
FEMALE,4625,48.4,14.4,319,203,Biscoe,Gentoo
MALE,5250,51.1,16.5,320,225,Biscoe,Gentoo
FEMALE,4850,48.5,15,321,219,Biscoe,Gentoo
MALE,5600,55.9,17,322,228,Biscoe,Gentoo
FEMALE,4975,47.2,15.5,323,215,Biscoe,Gentoo
MALE,5500,49.1,15,324,228,Biscoe,Gentoo
,4725,47.3,13.8,325,216,Biscoe,Gentoo
MALE,5500,46.8,16.1,326,215,Biscoe,Gentoo
FEMALE,4700,41.7,14.7,327,210,Biscoe,Gentoo
MALE,5500,53.4,15.8,328,219,Biscoe,Gentoo
FEMALE,4575,43.3,14,329,208,Biscoe,Gentoo
MALE,5500,48.1,15.1,330,209,Biscoe,Gentoo
FEMALE,5000,50.5,15.2,331,216,Biscoe,Gentoo
MALE,5950,49.8,15.9,332,229,Biscoe,Gentoo
FEMALE,4650,43.5,15.2,333,213,Biscoe,Gentoo
MALE,5500,51.5,16.3,334,230,Biscoe,Gentoo
FEMALE,4375,46.2,14.1,335,217,Biscoe,Gentoo
MALE,5850,55.1,16,336,230,Biscoe,Gentoo
,4875,44.5,15.7,337,217,Biscoe,Gentoo
MALE,6000,48.8,16.2,338,222,Biscoe,Gentoo
FEMALE,4925,47.2,13.7,339,214,Biscoe,Gentoo
,,,,340,,Biscoe,Gentoo
FEMALE,4850,46.8,14.3,341,215,Biscoe,Gentoo
MALE,5750,50.4,15.7,342,222,Biscoe,Gentoo
FEMALE,5200,45.2,14.8,343,212,Biscoe,Gentoo
MALE,5400,49.9,16.1,344,213,Biscoe,Gentoo
